Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0.184,1.497,5.937,11.801,323.7811392
0.1845,1.796,5.937,11.801,323.7811392
0.185,1.796,5.937,11.804,323.6155787
0.1855,1.497,5.939,11.801,324.0007165
0.186,1.497,5.937,11.804,323.6155787
0.1865,1.497,5.939,11.801,324.0007165
0.187,2.095,5.937,11.804,323.6155787
0.1875,2.095,5.937,11.801,323.7811392
0.188,1.497,5.937,11.804,323.6155787
0.1885,1.497,5.939,11.801,324.0007165
0.189,2.095,5.939,11.801,324.0007165
0.1895,2.095,5.937,11.801,323.7811392
0.19,1.497,5.937,11.804,323.6155787
0.1905,2.095,5.937,11.801,323.7811392
0.191,2.095,5.939,11.809,323.5591482
0.1915,2.095,5.937,11.801,323.7811392
0.192,1.497,5.937,11.801,323.7811392
0.1925,2.095,5.937,11.801,323.7811392
0.193,2.095,5.937,11.804,323.6155787
0.1935,2.095,5.937,11.804,323.6155787
0.194,1.796,5.937,11.804,323.6155787
0.1945,2.095,5.937,11.801,323.7811392
0.195,2.095,5.939,11.801,324.0007165
0.1955,2.095,5.939,11.801,324.0007165
0.196,1.796,5.937,11.801,323.7811392
0.1965,2.095,5.937,11.801,323.7811392
0.197,2.095,5.937,11.801,323.7811392
0.1975,2.095,5.937,11.801,323.7811392
0.198,2.095,5.937,11.804,323.6155787
0.1985,2.095,5.937,11.801,323.7811392
0.199,2.095,5.934,11.801,323.4520539
0.1995,2.095,5.937,11.801,323.7811392
0.2,2.095,5.937,11.801,323.7811392
0.2005,1.497,5.937,11.801,323.7811392
0.201,2.095,5.937,11.804,323.6155787
0.2015,2.395,5.937,11.801,323.7811392
0.202,2.095,5.937,11.801,323.7811392
0.2025,2.095,5.937,11.804,323.6155787
0.203,2.095,5.937,11.801,323.7811392
0.2035,2.395,5.937,11.804,323.6155787
0.204,2.395,5.939,11.804,323.8349872
0.2045,2.095,5.937,11.801,323.7811392
0.205,2.095,5.937,11.801,323.7811392
0.2055,2.395,5.937,11.801,323.7811392
0.206,2.395,5.937,11.801,323.7811392
0.2065,2.095,5.937,11.804,323.6155787
0.207,2.395,5.937,11.801,323.7811392
0.2075,2.395,5.937,11.804,323.6155787
0.208,2.095,5.937,11.801,323.7811392
0.2085,2.395,5.937,11.804,323.6155787
0.209,2.395,5.937,11.801,323.7811392
0.2095,2.395,5.939,11.801,324.0007165
0.21,2.395,5.937,11.804,323.6155787
0.2105,2.694,5.937,11.804,323.6155787
0.211,2.395,5.937,11.801,323.7811392
0.2115,2.694,5.939,11.804,323.8349872
0.212,2.395,5.937,11.804,323.6155787
0.2125,2.694,5.934,11.801,323.4520539
0.213,2.395,5.937,11.804,323.6155787
0.2135,2.395,5.939,11.801,324.0007165
0.214,2.694,5.939,11.801,324.0007165
0.2145,2.395,5.937,11.804,323.6155787
0.215,2.395,5.937,11.801,323.7811392
0.2155,2.694,5.937,11.804,323.6155787
0.216,2.993,5.937,11.801,323.7811392
0.2165,2.993,5.937,11.804,323.6155787
0.217,2.395,5.937,11.801,323.7811392
